,PLAYERID,player,DFGM,DFGA,Defending FG%,oFG%,difference
68642,204054,"Dragic, Zoran",0.0,2.0,0.0,0.42336510023003615,0.42336510023003615
32041,203564,"Lucas, Kalin",0.0,1.0,0.0,0.4141069397042093,0.4141069397042093
100170,203495,"Ledo, Ricky",0.0,1.0,0.0,0.3385416666666667,0.3385416666666667
4717,203108,"James, Bernard",7.0,32.0,0.21875,0.4663252810247349,0.24757528102473492
5487,203254,"Green, JaMychal",3.0,13.0,0.23076923076923078,0.4538180957138859,0.22304886494465515
12797,202327,"Udoh, Ekpe",3.0,13.0,0.23076923076923078,0.4273109069023984,0.19654167613316764
210,101126,"Robinson, Nate",27.0,99.0,0.2727272727272727,0.42668583539310667,0.15395856266583396
9079,203539,"Mekel, Gal",3.0,10.0,0.3,0.45198212929667353,0.15198212929667354
11874,203540,"Datome, Gigi",1.0,4.0,0.25,0.39077556706202743,0.14077556706202743
49345,201880,"Stiemsma, Greg",4.0,12.0,0.3333333333333333,0.47232279957566226,0.13898946624232894
1343,201202,"Anthony, Joel",23.0,68.0,0.3382352941176471,0.46859869541469223,0.13036340129704516
32268,2030,"Martin, Kenyon",8.0,25.0,0.32,0.44158439184802634,0.12158439184802633
7308,1889,"Miller, Andre",54.0,173.0,0.31213872832369943,0.42999023033229306,0.11785150200859362
7292,2457,"Pargo, Jannero",4.0,12.0,0.3333333333333333,0.44880665344458925,0.11547332011125594
31088,203098,"Jenkins, John",5.0,16.0,0.3125,0.4264915531798962,0.11399155317989618
4639,201979,"Calathes, Nick",33.0,100.0,0.33,0.4403848460500869,0.11038484605008686
20891,203943,"Vonleh, Noah",9.0,28.0,0.32142857142857145,0.4194250049482031,0.09799643351963166
13448,203296,"Miller, Quincy",7.0,18.0,0.3888888888888889,0.48530849835977796,0.09641960947088907
8861,203489,"Wolters, Nate",18.0,54.0,0.3333333333333333,0.42774742052856124,0.09441408719522792
14964,203099,"Cunningham, Jared",4.0,11.0,0.36363636363636365,0.4575918054603473,0.09395544182398363
108,204038,"Galloway, Langston",63.0,185.0,0.34054054054054056,0.4325144649285595,0.09197392438801893
978,101106,"Bogut, Andrew",168.0,433.0,0.38799076212471134,0.4790916776978072,0.09110091557309585
10550,202407,"Millsap, Elijah",47.0,136.0,0.34558823529411764,0.43595239362649973,0.0903641583323821
437,202087,"Gee, Alonzo",39.0,113.0,0.34513274336283184,0.4354218405522083,0.09028909718937644
